Source,CS_ID,Name,Latitude,Longitude
ACIS,Aurora,Aurora,57.2377,-111.4075
ACIS,Christina Lake near Winefred Lake,Christina Lake near Winefred Lake,55.625,-110.7725
ACIS,Cowpar Lake Auto,Cowpar Lake Auto,55.9534,-110.4972
ACIS,Dunkirk Auto,Dunkirk Auto,56.77,-112.49
ACIS,Gordon Lake Lookout,Gordon Lake Lookout,56.6175,-110.4944
ACIS,Horizon,Horizon,57.3838,-111.9419
ACIS,Leismer Auto,Leismer Auto,55.6897,-111.2847
ACIS,May Auto,May Auto,55.5623,-112.4049
ACIS,Steepbank,Steepbank,57.0273,-111.4291
ACIS,C4,Pierre,57.5494,-111.6533
ACIS,C5,Surmont,56.2236,-110.959
ACIS,Birch Mountain Auto,Birch Mountain Auto,57.6946,-111.8261
WBEA,JP107,Meteorological Tower - 1007,57.89026368,-111.4352359
WBEA,JP201,Meteorological Tower - 2001,57.03210936,-113.735517
WBEA,JP213,Meteorological Tower - 2013,57.04734757,-109.7496857
ECCC,3060330,Athabasca AGCM,54.63472306,-113.3819467
ECCC,3062697,Fort McMurray A,56.65333333,-111.2233333
ECCC,3064528,Mildred Lake,57.04111111,-111.5588889
